Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
543774,HDFC Mutual Fund,HDFCBSE500,HDFC S&P BSE 500 ETF,Active,B ,23.86,INF179KC1EZ4, ,Equity,-,-,-,-
543775,HDFC Mutual Fund,HDFCSML250,HDFC NIFTY Smallcap 250 ETF,Active,B ,91.31,INF179KC1FB2, ,Equity,-,-,-,-
543776,HDFC Mutual Fund,HDFCMID150,HDFC NIFTY Midcap 150 ETF,Active,B ,11.60,INF179KC1HT0, ,Equity,-,-,-,-
543811,AIRAN LIMITED,AIRAN,Airan Ltd,Active,B ,2.00,INE645W01026,IT Enabled Services,Equity,Information Technology,Information Technology,IT - Services,IT Enabled Services
543812,DIVGI TORQTRANSFER SYSTEMS LIMITED,DIVGIITTS,DIVGI TORQTRANSFER SYSTEMS Ltd,Active,B ,5.00,INE753U01022,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
543819,ICICI Prudential Mutual Fund,PSUBNKIETF,ICICI Prudential Nifty PSU Bank ETF,Active,B ,10.00,INF109KC10S8, ,Equity,-,-,-,-
543829,Global Surfaces Limited,GSLSU,Global Surfaces Ltd,Active,B ,10.00,INE0JSX01015,Granites & Marbles,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Granites & Marbles
543853,Axis Mutual Fund,AXSENSEX,AXIS S&P BSE SENSEX ETF,Active,B ,10.00,INF846K010Q0, ,Equity,-,-,-,-
543858,Mirae Asset Mutual Fund,LOWVOL,Mirae Asset Nifty 100 Low Volatility 30 ETF,Active,B ,100.00,INF769K01JU9, ,Equity,-,-,-,-
543896,Avalon Technologies Limited,AVALON,Avalon Technologies Ltd,Active,B ,2.00,INE0LCL01028,Other Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
543898,BEML Land Assets Limited,BLAL,BEML Land Assets Ltd,Active,B ,10.00,INE0N7W01012,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
543901,ROBUST HOTELS LIMITED,RHL,Robust Hotels Ltd,Active,B ,10.00,INE508K01013,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
543904,Mankind Pharma Limited,MANKIND,Mankind Pharma Ltd,Active,B ,1.00,INE634S01028,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
543910,AVG Logistics Limited,AVG,AVG Logistics Ltd,Active,B ,10.00,INE680Z01018,Logistics Solution Provider,Equity,Services,Services,Transport Services,Logistics Solution Provider
543915,Pavna Industries Limited,PAVNAIND,Pavna Industries Ltd,Active,B ,10.00,INE07S101020,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
543917,SIGMA SOLVE LIMITED,SIGMA,Sigma Solve Ltd,Active,B ,10.00,INE0A0S01010,IT Enabled Services,Equity,Information Technology,Information Technology,IT - Services,IT Enabled Services
